,text,cEXT,cNEU,cAGR,cCON,cOPN,no. of. words,cEXT1,cNEU1,cAGR1,cCON1,cOPN1
1229,right think write assignment assess physical metal effort appear low effort front haveconflicting thoughts nowside easies give time relax night relax mood want dependent people able live parent expectations independence meet think people anger distraught fact reaction unlike tend formulate new expectations throw ones speak throw things trash damn assignment start bore start wish separate class instead justbig project consist elements teach class dedicate time big project worthwhile challenge things challenge event challenge task largephysical fitness wasthese challenge change workout relaxation selfimage naturally shy bother shy involve things sense lose go limb talk present idea remind things talk natural reaction pronature respect take medicine point aspirin vitamins replace natural foods surprise mention feel thing surprise think long time yell ground lot kid point matter get tire mad parent vengeful feel depress like happen parent change let affect anymore away mom dad brother sister dog miss talk past long bore like look future give slight sense excitement give excitement look forward bigger better things right define things things money wife good friends children dream dream things unclear bigger better things like heaven come mind spiritual awaken religious sense church try communicate god subtle ways firm belief believe good happen good happen doubt wholeheartedly believe night leave cellphone restaurant hours later come return leave book forclasses seat come go email teacher say student give lucky sell coop dollars luckthose things rely chance luck book return glad case away home mom pessimistic impatient thing irritate point like avoid categorize group claim religious believe god truly honest impossible honest friend lie think people envy think realize envy people respect try level mind blank think hum time ,n,n,y,y,n,272,0,0,1,1,0
1230,write college paper guess paper offense course relief report write high school miss high school little bite fun especially home town bastrop anyways guess ill quit write music listen way loud reason help feel flow paper better go pace paper long whoa ready think lot things right study hours frat phi kappa sci baby yeah woo hoo experience meet people fast life make college life like twice fun recommend frat guy drink everybody think speak drink court appointment contribute mom say actually talk parent lot think mom laundry sweet deal go mess dad piss think take responsibility like little paper clip dude eye kind freak right keep give weird look bunch weird people fair quick judge help day saw guy girl walk hold hand cross street saw actuallychicks know prejudice take surprise roommates mom call talk mind wander talk suppose roommate message forget busy type anyways little harder think think usually think things min strait hey time look dorm room think let feel flow page draw blank think phone mess train think anyways believe early tomorrow tonight suppose stay late pretty good chance come home stumble laugh uncontrollably word probably misspell somethingmin leave get grade psy sweet deal thong thong thong whoa sorry get music second whoa door neighbor bang wall freaky turn actually go turn hahaha sweet freak mean anyways min leave min take lifetime whoa paperclip wink think smile hungry know eat peanut butter sandwich ramen fish crack whoa roommate turn limp loud possible sweet lose sight lose mind wish somebody right uno minuto mas spanish tres years spanish hear like percent spanish vocabulary clock hit ,n,n,n,n,n,268,0,0,0,0,0
1231,exactly write mind blank meet hot guy dorm want talk remind rain meada vision blur today probably ozone warn believe degrees day wish dance team guess know want change major hate ballet passion today felt sick stomach class hate brandon make mad act gay time jennifer date wonder jen like jansen want boyfriend dream kevin night weird actually nice sick hospital take care want meet justin timberlake bad want sex miss brother believe father call months come graduation ugh like class trouble get class bad student wonder sammy today want happen pretend chance kid mrs perfect jen lovey know piss want scream think guy class today say mat choices ask single day meet hungry feel extremely fat think today people swing arm walk remind seinfeld elaine make fun woman swing arm think like patobut attract wonder actually like love attract maybe want admit mind weird psychs thinkthing confuse know think complicate feel bad time god life want fun things forget need pray wait meet man go marry look picture best friend high school notthought come head think good go ways get tire feel bad casey need daniel patrick rudest boy world think nice loss break right need loan stupid texas thing gay work wonder finger break decide want try dance team homework life anymore think go hate school maybe drop home work heb life go like actually go dance broadway point try hate write journals dumb modern class bunch crap school mess procedures freak line miles long feet kill need chiropractor melissa think easiest write assignment english teacher mrs dillard run away teacher get marry saw strange dad tell mexican food restaurant want kill orange drink drink wasp trap house start cry dog die little miss cat home want home mom drive crazy brittney spear hoe sleep justin gross want meet ask think birmingham go tight drive suck meet man want know like kiss ohhhh dang wait want talk zal wonder paris think know yeah ,y,y,n,n,y,325,1,1,0,0,1
1232,okay minutes hopefully relatively fast today study go workout probably consume rest day finally settle routine take couple weeks get hang college life friends go home weekend soon want stay go dallas weekend labor day sister birthday get best friend zach colorado try wrestle anxious home especially weekend october txou santana concert later month mom sisters come school oldest sister maggie bring new fiance meet good guy choose marry people stand burn twice annulments previous marriages wed catholic church catholicism kind funny way come strong catholic family father prefer attend university dallas catholic liberal parent strategically place dobie university catholic center smart people little know time go church dallas dad push doctor want majority life spring architecture introduce dean speck architecture class fascinate love know figure want feel matter decide probably endure sort midlife crisis completely change career okay lot people sister jennifer example lsat apply law school apply law cool like responsibility worry place responsibility closest family usually thethe middle try best way help alcoholism depression yeah apply law school sort direction hard hear truth slam throat summer think hit wonder kim get home think say like suite actually stuff later house study hours reese reese probably lonely jessica bug hope diamond sister cool kim go home weekend rest world dave matthews bandfavorites see concert ticket expensive think go boyfriend relatively good price lawn ticket likely like soon come home miss dog take years dog finally perfectly adorable black lab leave school probably breed labs older love labs kind dog suitemates organize type amy notice clean desk isooh ,y,y,n,y,y,259,1,1,0,1,1
1233,interest write minutes straight know write long continuously welcome challenge roommate bustle room pack retreat forget assignment run room pack try assignment haha kind funny suck forget go campus crusade trip weekend entire room wonder things luxury hmmmm time ponder interest things happen weekend cosby wait watch favorite cartoon clock dragon ball japanese animation best think thing fight energy ball fly air planets blow guess like stereotypical guy football start weekend pretty excite sign cbs know chinese bible study fun meet new people consider come pretty strong contingent people know dallas area mainly center plano austin cool place things plano car kind suck feel like walk happen thing trouble weather freak hot humid nasty wait fall winter nice cool outside rain mist nice degree weather months get class today chemistry right pretty review chemistry take high school troublesome teacher pretty good chemistry lecture people know high school nice drive teach information roommate stock food pilgrimage heb lucky class today class punk complain haveclass tuesday thursday pretty nice calculus discussion away like doze class go lake travis weekend friends pretty fun away city bite nice dark hope burn want turn color burn toast longer look chine hmmm hair cut weekend think change hair want cut shorter nice hot austin shorter hair nice consider walk hmmm provocative maybe ask people think trek drag place hair chop ear lower lingo nowadays lot read weekend bummer read book odyssey greek quiz monday read chemistry start calc need read psych weekend tons tons read football sunday watch nfl fantasy players hopefully win fantasy football week lose week kind mad team produce happen hmmm hope play basketball weekend play days play usual week wonder skills deteriorate guess good time play pick game friends hopefully dominate likeliness toast nicely toast happen tire right sleep earlier know sleep okay hours maybe roommate snore sleep keep wake middle night hideous sound awake hit shut mind hehehe hmmm try submit write minutes hopefully able turn time hour half turn hopefully work good ,n,n,n,y,n,332,0,0,0,1,0
1234,okay guess begin mention little bite guess thatthing mean talk wonder go period thatthing bad forget periods hate computers especially act mean hate sensitive like people people sensitive things like instance today guy talk bring see hispanics feel friendly sort people know racist want bring issue hear response question friend say mad hey frank like help think get mode things start realize old self come tell go stop halt small voice head actually justdon want idea schizo want drug canthere positive effect psychedelic drug afraid answer notice campus main issue hand think surround interact people drug background like book say group people like great college matter like right work female companionship read right ageendless tireless search love extreme promiscuity guess pretty lame talk love life assignment heysaid confine set topic fact understand pretty want write true think notice burn time write nonsense glad procrastinate second scary thing assignment thirty vicinity guess guess time ,y,n,n,n,y,153,1,0,0,0,1
1235,right flood emotions come maybe sensitive feel close friends know friends relax worry think friends know group certain people open reason past open people turn talk bad sensitive things matter want people think snobbish stick talk act kind quiet boys past boys nice things change junior high high school watch know think need stop selfconscious confident think nice person openminded certain things feel want talk listen tell hold confidence tell ask tell tell reason think anybody business feel good qualities bad ones perfect humans little flaw admit flaw embarrass admit mean need work speak work need work work week need work summer work everyday exactly day potential day work school work emergencies come prevent keep workout schedule gotsix time week want clothe fit better prove work summer contribute slimming work great figure good health need notice work asthmas bad sick past exercise good diet work work miracles thousands people live proof afford sick right especially school start sick right class fun bad let hope road ,n,n,y,y,n,165,0,0,1,1,0
1236,come home town labor day want friend talk come go week home sick guess want stay austin know leave hope ajay airport worry right pray mom better know want promise go alright wish stop drink pain away guess make feel better right tell wonder time michael game tomorrow mom tell forget maybe go dallas weekend know think better odessa football big thing course thing jeesong football game soon get glad ajay dangerous worry think mature relationship learn work problems couple entire live know go lose know want dad selfish leave children catherine come ask time go say early decide happy schedule class like themthing school hate tire check stupid email house think major major university way check download able enter uteid open link site easy hate computers usewouldn mind bite know pass class thing need class internet feel sorry people clue use think kris go hook finally discover choice computers live days human race scary know life thing know thing want ,y,n,y,y,n,161,1,0,1,1,0
1237,hope assignment correctly want badly class semester wonder friends right want wake early tomorrow maybe tire probably wish seth hurry tire wait need homework math know want spanish tomorrow want mom buy new cell phone glad week excite weekend busy lot fun hope guy call today buy puppy sell money buy eat dinner hope friend heather mad call forweeks want school anymore wish marry professional athlete tire today get plenty sleep night mom nice get annoy feel bad rude treat like junior high probably baby miss kid wish job dad maybe seth home call hold minutes lot longer think think type minutes straight think go resign online tenth time annoy want crawl bed right sleep homework guess better homework ruin gpa sure high semester year fault think head believe run things type wish caymans friends right fun maybe christmas think afford glad parent payroll believe people pay tuition things like imagine marry baby definitely imagine wish stay age younger forever preferably freshman college realize fun grow year hope assignment correctly want badly class semester wonder friends right want wake early tomorrow maybe tire probably wish seth hurry tire wait need homework math know want spanish tomorrow want mom buy new cell phone glad week excite weekend busy lot fun hope guy call today buy puppy sell money buy eat dinner hope friend heather mad call forweeks want school anymore wish marry professional athlete tire today get plenty sleep night mom nice get annoy feel bad rude treat like junior high probably baby miss kid wish job dad maybe seth home call hold minutes lot longer think think type minutes straight think go resign online tenth time annoy want crawl bed right sleep homework guess better homework ruin gpa sure high semester year fault think head believe run things type wish caymans friends right fun maybe christmas think afford glad parent payroll believe people pay tuition things like imagine marry baby definitely imagine wish stay age younger forever preferably freshman college realize fun grow year ,y,n,y,y,n,334,1,0,1,1,0
1238,know assignment psychology class interest class yes happy look pencil pencil year lose usually loose pen pencil weeks roommate pick phone start talk friend texas football game happy hear think go write assignment yes type pretty fast write minutes know say junior hours actually sophomore electrical engineer work grader ee class like job thing hate fail students fail chapters come roommate laugh right distract thoughts assignment hope friend study library right work friend suppose eat dobie soon hope interrupt feel hungry get tire type long time minutes pass wish food better eat cafeteria unfortunately food great friend call continue write tell minutes hopefully finish assignment hear conversation roommate andfriends phone talk go th street probably like think need brother sister today life need work tire thoughts flow anymore hear bathroom toilet flush community bathroom room suddenly cold wish wear short wish work bla bla bla lot rubbish easy want assignment minutes instead minutes wonder result experiment go go help hungry thing stop work finish finish door slam close hard wonder tire want write research report psychology want experimentation psychology lot time think stick experiment love grader ee people look remember humble human be intelligent good people wish parent brother sister right unfortunately international student wonder friends high school hope time let check phone ring greg call roommate cool guy right roommate greg go party yesterday good fun come finish yes thank hand tire bye thank ,n,y,n,n,n,235,0,1,0,0,0
1239,okay thing write word processor want stream consciousness go worry punctuation spell capitalization go exactly sure write ummm night go kind interest night go old friend carlo house party friend laura prefer think lar house carlo hat actually go england go night want tell hate anymore talk awhile wrong basically say feel like try hard list boyfriend land care time suck lot people think excuse assume boyfriend land want kind cut ask want feel kind boyfriend land feel like onlywho want hang anymore suck onlyhanging anymore time anyperson suck suck party people ask boyfriend like allow boyfriend weird want party glad eric night think carlo talk stuff eric say like go party anymore damn flirt guess think make better wonder jamie right thatthose things probably tell probably know feel like write diary right weird write diary maybe middle school retard write say things like god dance dance group friends fight wonder group hang age immaturity jamie know sure wish work tonight night go faster swear maybe antisocial know suck get ticket kenny chesney hottest country singer long keep hat kind bald wear little black shirt plus get ticket kenny chesney stupid sorority like want stay live damn house piss want go annoy kenny chesney want people buy ticket know work know time get laura know think able type lot minutes ,n,y,n,n,n,220,0,1,0,0,0
1240,come university texas think play soccer turn soccer scholarships come want come know business schoolthe greatest nation go football game picture play soccer people picture right dribble players score magnificent goal everyaround cheer like crazy big man campus right wonder right decision come soccer get good grade high school decision mental power instead play soccer glad decision blast especially class best class consist people huge number size high school class jersey village psychology class right sit pretty girl like think right feel kiss think mom dad home know lonely hope health remain good condition tell live years old high school end start slack tell parent good grade study lot year hop test hard sister go texas major psychology need help junior right get miss cat picture bed wait home weekend thank ,y,y,y,n,y,131,1,1,1,0,1
1241,read class professors overwhelm material guess expect college tell persevere gpa high school hard maintain attainable know good know aside grade start slip like night want stay catch lot things yep definitely maintain problem bye bye bye man hate song wish stupid songs stick head wonder star think ultimate thing impress girl take picnic lay look star point constellations hey maybe astrology science needsemesters science graduate business honor hear class semidifficult need easy science class bad mean hard look star sciences ways talk stuff imagine teach dang hate science sciences guess social sciences bad sciences basic ones bio chem physics yeah stand right onlyminutes leave guess thatminutes think stuff guess time mean time universe revolve humans sure be proof circle wheat field proof stupid iowan rednecks try publicity like kid charge bobby knight abuse stupid publicity stunt apparent wrong little stern manner address kid bring forefront like stupid wait college basketball start best time year duke basketball fan remember bad nah enjoy college football guess college basketball action kid actually care like nba lazy worry money ncaa kid play jersey guess players care bye bye bye dang stop need hook girl tonight long get people random sex proud virgin marry know god strong like roommate understand bye bye bye right thing finally overless thing worry ,y,n,n,y,y,215,1,0,0,1,1
1242,come year totally different new atmosphere school know challenge think freedom lifestyle work get grade like high school wow difference lifestyle come dorm sleep afterclass instead day like high school finally go home sleep like sleep class anyways ethernet connection awe years mediocre modem ethernet connection blast time actually assignment online send online change write computers write live dorm peer usually let internal problems closeup happen see like everyday school life home ponder issue school day phone talk meet issue face face usually depend peer live peer live way eat sleep drink year ,n,y,y,n,n,93,0,1,1,0,0
1243,hate hate power hurt hate call want merely tell song get shoot hate call girl think call hate girl start like soon break say feel merely days ago forget quickly special forget soon hate want long distance relationship like hours away hate make hurt badly inside hate make feel horrible feel chest break hate power invoke emotion think different think people hurt tell benefit doubt finally learn say want hurt night painful felt like stab run time care understand tell want girlfriend year school hell call girl start lie ask people lie hurt night ruin pedestal guy prove wrong wish feel hurt feel right wish hurt know wish hurt away deserve feel way care good sorry feel special awhile guy start talk soon early fair person take forever ask want sure michelle tara talk soon know feel easy think stupid travis know know lie guess know think hurt think girl soon tell start guy void fair believe wish feel better think know friends anymore trust friend know lie wish like wish things great want let best boyfriend know anymore ruin perfect picture hate make feel sadness ,n,y,y,y,n,186,0,1,1,1,0
1244,tire know talk like assignment wonder kristi urey beautiful person know love mean love heart mind body soul like psychology high school interest personal draw people think psychology food sea roommate weirdo wear hat watch conan brien roommate get dell today like kristi smart man know love go sorry like witch slime whitewigged pinheads screw big crime twistedup life spit dream hate come shoot set free get lovely bunch coconuts stand row like boy band love food love love internet foryears view expert engineer think think anymore brain break bleed internally nervous wreck deserve respect walk tight rope circus net invite frat party tonight attend think girlfriend fiancee like case close time ,y,n,y,n,y,112,1,0,1,0,1
1245,hungry want ice cream want walk downstairs massage sound nice ryan say betternext time drive college station stay know stay joey awkward stephanie situation know ruin joey deserve better thomas like sweet guy intimidate old guess old turn october kind intimidate bad wonder tonight call earlier return home wonder ask assume know wonder go cooler paint stuff fun year decorate erin stuff go break soon home weekend pay lol hmm know probably home say parent know mom likely jump joy like month week school long need check laundry hmm bet mind guess bring erin weekend wonder plan tell problem guess kind hop brian tell come doubt remember care boy need butt sure wonder thomas dress confidential rock star kind think madonna theme cone bra totally kid think courage waltz park avenue cone bra know kind rock star guess lot choices cher nah think want tire able sleep lately actually go bed early night keep wake suck point go bed early sleep noooooooo easy think like kelli like try life annoy nicole come try study ugh baskin robbins sound good right car year lot nicer want tube like gonewants money want dammit need tan lay long home weekend definitely swim tan want home dog see weigh pound doobie doobie doo car need wash badly drive forever today look car wash gas station car wash noooooo easy life like want happen exact opposite happen life way thomas go houston spring job half months totally get ahead situation know guy damn complicate stupid erin happy jealous pat totally adore want adore noooooo life easy chris adore know bad hispanic think life hard people cruel want ridicule star chris totally sweet wonderful know totally know mother react date hispanic guy grandparents shit fit wonderful know treat totally right maybe someday god know date aggies ridiculous food food food food food food food food food food food food hungry go break know year work spring think life hard sorority school totally want use weekend dude understand joey break know stephanie psycho hate hate people life shethem life unfair treat better aggghhhhhh better store right hope anyways want apt sick amy run hall night scream swear drink night get tire yuck teacher jail mind listen erin conversation hope friendship fall apart roommates think get tire hurt get moods like angela want end like angela think friendship different kelli get nerve totally take away erin ugh stand want hot bath want cook want curl small blanket watch sad country love songs cmt minutes take forever think ice cream need check laundry probably take clothe wash sit dirty wash machine great understand people whoop need brian thismore minute room smell good erin burn candle nicole study think kind get nerve take away erin ,n,y,n,n,y,455,0,1,0,0,1
1246,today pretty good day onlyclass chance nap tire sure mean know late phone night danny get right think year talk phone late miss wish like hear remind hard time concentrate class think good thing mean need concentrate work study feel guilty feel like miss miss family bad mean feel like way love constantly wonder end forever think thereally nervous tell parent mean suspect know guess exactly wish tell parent felt like kind connection respect like good friends defiantly jealous mean laura roommate mom tell mom felt like talk mom kid mean kid go line communication open mean think want best friend faze like able talk daily gossip school party go weekend boy girl problems think danny stay great father mean opinions raise kid mean lot reason good think alike know otherthinking think friends like friends like good friends think highly danny mean upset liv make mad think know go think better constantly tell know know danny like know type relationship danny jill usually pretty positive things danny laura matt matt story talk matt time anymore san antoniothing stand matt constant mood change hard deal like matter happen know go danny ask expect go tell think stupid secret bug mean tell good friend think personal expect problem tell hope best friend able figure think ask day matt ask danny night business tell pry problem wonder matt stay friends long good friends ,y,n,n,y,n,230,1,0,0,1,0
1247,try decide eat dinner complicate especially people answer question ask want eat likely know want know want eat ask simple question simple answer right ask boyfriend want dinner response know want ask know want eat ask guess want decision honestly know want eat simple question stomach brain decision ask important decision mean lazy want decision maybe lazy maybe want help decision logical person lazy simply want decision ,y,y,n,y,n,67,1,1,0,1,0
1248,week university texas mind fill mixture thoughts emotionshand excite start new school opportunities await worry able balance social aspect life challenge school foremost mind presently pledgeship draw constantly nearer go go able stay house night chores good gpa surely difficult fairly confident successful overcome challenge life hardships pledgeship combine rigors business honor program busy semester feel great pressure perform stay bhp scholarship money root nervous feel great deal excite semester excite experience people meet friends semester unlike life think time past days arrive make certain choose great school attend bhp offer incredible future opportunities friendships forge pledge brothers lifetime believe college move away home face great number challenge semester excite overcome challenge semester reward ,n,n,y,y,y,114,0,0,1,1,1
1249,come scar go friends right away meet people acquaintances sure good friends feel lonely time constantly different people feel good love happen family near remove area love best friend milanwho turn think distant usual appreciate actually jealous need attention begin think like friendgood friends end tell like things worse like want date people think like bug know tell think like way like tell go come today bother let know go come probably club rude situations wonder care feel like betray wish happy life ask wish life feel like make happy say sad life suck case say sad maybe content life content good want true happiness person try happiness way reach ask question time ponder think life successful lonely easily store grocery store need bad thing think independent want time like company best friend tell crave attention know maybe know school stressful study feel like time time like study need things right guess need figure stuff hopefully work best ,n,y,n,n,n,158,0,1,0,0,0
1250,guess go start write today busy day get lot things need kind relief stress right try organize need head finally new home tomorrow class homeless past month past weeks stay friends suck place feel disorganize right hate start school year way days go busy move get ticket today thatthing worry anymore need trip organize casey karoly austin commit need leastmore person commit hotel room expensive hard go think want run right middle day hot think anyways come shower pick casey class start get ready band go start go start night early guess good thing end early mean sleep class morning listen music right make want dance suck dance wonder god give people rhythm hate rhythm love music people dance proof true need neck hurt guess sleep wrong hate crick neck feel like run today wonder run dance energy come get sleep past couple days think body better sleep sleep late feel depress waste day tire today wake early feel productive let go early try draw football ticket tell come later go friend place call mom dentist appointment long overdue drive storage place pay tomorrow buy cds want go eat lunch go get football ticket homework go run hopefully die heat stroke tonight ticket band play want fun think take nap look like go happen guess couple cup coffee start drink beers look like time assignment remind email friends sit type come end long bore pointless kind nice grade annoy friends peace ,y,y,n,y,y,241,1,1,0,1,1
1251,second write assignment try submit try monday wednesday monday let site wednesday tease meit let type entire stream erase try submit hopefully thisworks microsoft word wish sleep tire night go th street blister feet morning work feet hurt go th hell want sleep write hep shoot yuck ready work matchbox concert promise go sleep soon home go work sunday old navy schedule week normally happy try save payment new car boyfriend months get new truck weekend kick want ford focus internet look cars study parent say help car school need concentrate school busybee need load laundry weekend rush begin sure live dorm hell try laundry bath nice sure bus earlier stink badly people bus smell hot test week geography class need study ahhhhhh college manage time get listen sessions succeed school doubt right wish home weekend mom go hospital hysterectomy clue spell right think sweet show houston bring flower good stuff love know guess weekend buy card prepare home weekend know hours week need money like say try save new car right go mind sleep food shower necessities life minutes onlyminutes slow typist hope concert worth work dead tire probably go sleep instead go concert great opportunity little work sure make sense right room mess roommate need clean unfortunately minutes go bed ,y,y,n,y,n,212,1,1,0,1,0
1252,know start stream consciousness write guess write feel college right year scary fun time guess time sit think exhaust think actually morning person days start point stop pass days fill completely go class study meet course go meet people barely remember feel bad come call remember meet sure happen happen day life go remember roommate cool go potluck get extremely lucky like sisters people think look alike crazy write like bunch gibber gabber guess follow guidelines write mind think cool exercise actually give time sit think mindthing mind miss home mom take care make sound like baby independent person take care mom foryears bed sick point life grow fast work school cook dinner cleaners help house get better guess lazy want help lot things awesome miss dad entire different story live connecticut notthing anybody raise know act like father step dad man act father take care way father suppose miss type essay go university texas thankful bad show think know heart appreciative thing miss sister go boston college tell best friend know telephone make feel better problem upset guess entire essay miss family think maybe home soon visit actually bad need grow someday havemore minutes write feel better away home express miss paper hear write things make feel better prove hope make goodbye good day ,y,n,y,y,y,215,1,0,1,1,1
1253,wow type minutes love write email friends guess count miss friends camp weekend wait roommate like listen music study conflict guess need cause sure care actually know hope fit schedule need cause lot list haha try new responsibility thing think mean think pretty responsible guess learn new things everyday glad parent raise way miss cause new friends know think date great way excite far guess picky good thing maybe god bless amaze guy hear school year cause go right haha phone ring way people stop like people walk door need catch quiet time yep wish control eat guess tell need action self listen hope grow stronger nurse major cause kind vivid right nutrition talk make think eat right work stuff need shave legs homework overload like room think reflect personality change thoughts lot expect write write aboutthing think lot things guess think cause distract easily talk brittney spear people like like haha weird girl love dance sing think talented hope capitalize beginnings sentence cause time roommates joke date love talk people happy yea like talk people know fun feel ramble absolutely wish star austin love away cause thatfavorite things maybe chance weekend love people tell pray cause know pray work god deal yea pray make happy happy go life different things different people happy like people god fill joy like type cause make think feel guilty smart remark cuss today make feel like piece junk byebye ,n,n,y,y,y,236,0,0,1,1,1
1254,moment thing go mind college remain procrastinator complete assignment feel need change study habit need succeed afford let parent parent work exceptionally hard obtain current status total waste time time course total waste money fail college fail possible occasionally ponder parent failure time feel failure constantly compare older brother good like brother guesscould brother shadow parent comparisons aunts uncles similar comparisons family children constantly feel depress short periods time order cope apt find companionship understand short love relationships fling seek substitute happiness knowledgeable stuff like know relationships fun relationships things worse mention help obtain temporary happiness therething good come experience believe happiness make happy aspects life actually care encourage spiritually intentionally surprisingly actually understand explain guess soul mate therething sure love heart fact girl actually tell love actually mean think moment make smile ,n,y,n,y,n,133,0,1,0,1,0
1255,hard believe year college begin like summer camp week return home week false reality head hard grasp happen fast leave family friends cheerlead squad town familiar trade world experience confusion time class class go tonight mass confusion head want successful college academically spiritually emotionally physically begin steady workout eat habit feel good self far enjoy class little think head get feel like list things time matter admit week college completely awful hat moment cry everyday call mom act like real baby strike sure go way get schedule new friends things look feel like fit miniature society university texas like town citizens town superficial feel like meet withnatural think head believe strange campus sorority girls fraternity guy offense want feel like things life loop friends far personalities feel like real meet hop semester begin dorm room home people family homesick miss fit high school worry lay minor decisions fit know way know go time like utopia little town sugar land problem high school thing definitely stereotype superficial moment life cheerleader high school people school assume snobby selfish girl think world cheerleader friends get chance know right far snobby love world harmexcept self emotionally teenagers feel need judgmental drive mustang convertible cheerlead uniform feel like straight save bell episode think time image create mind things people look feel like answer decision love hat hate fact media pound brain real life people doled genes physical personality choice people honestly help way time stop feel worse insecurities think answer insecurities sick people feel better put girl think ugly hair announce girl horrible sense fashion away fact ugly hair think necessary step whomever take look better mind question know long plan stay real earth girl victim insecurities ,y,n,y,y,y,282,1,0,1,1,1
1256,feel tire lot school work distractions love thedistraction want want like fun tie relationship time friends family feel like want right chick feel hungry eat finish write assignment start minutes leave take think hate math take math college need predental lot chemistry lot school work worry procrastinate nextnights go suck damn minute go hungry bite real quick type right hand annoy right stand roommate total loser wait place year way hell share room rest life hope marry life go like like say earlier want theand feel like need couple years people share room experience get wonder marriage life go annoy go pretty disappoint mean annoy chicks relationship maybe hope roommate come lot noise lose train think start minutes go amaze write write mind roommate make noise roommate sigh shuffle feet hop attention see homework ruffle potato chip bag louder hop annoy ignore go blare music leave sink make noise ignore get piss talk aloud cough type extra loudly draw attention childish tap loudly like little kid try attention piss hell swear way hell room room rest life damn get phone man talk want join frat wonder okay get minutes mind pretty blank right think go today go lacrosse practice buy beer roommate think alcoholic drink know alcoholic real friends thinkmiss best friend hilary right crush remember daydream get marry elementary school girl saw move know high school best bud best friends think actually honest know crush pretty middleschoolish know maybeday theleast wish wait clean room come october sure clean girls weakness love chicks thank god funny feel lonely meet girls want hook chicks want hook plain date beauty queen high school maybe immaturity date anybody fit beauty queen mold want chicks lonely chicks mind guess choosey plus guess like feel sorry like night know want thing past time ,y,n,y,n,y,298,1,0,1,0,1
1257,right write paper think lot read come weekend follow week class pound headache believe get walk spanish class forget sunglasses dorm room look forward weekend tonight boyfriend probably go sixth street little tomorrow go texas louisiana football game game season excite football game hope hot sure boyfriend parent come game take eat dinner glad break repetitive dorm cafeteria food sunday meet friends go southwest go schlitterbahn water park hard time write head hurt tookaleves suppose kick homework kind noise music television fan able concentrate completely silent mind wander write read end think completely different look paragraph read ask read hate feel like waste minutes time know waste know probably sense moment fan radio play roommate talk mom telephone plenty noise go enjoy assignment put think minutes piece paper look think slow typist think think lot things minutes minutes end paper try think good way end come moment ,n,y,n,y,n,147,0,1,0,1,0
1258,sit decide good time write stream consciousness usually tire feel like tonight extra kick energy maybe lone star get mtv background swear hear video music award finally come tomorrow night hall meet tonight talk sprinkler installation decide thethursday night roommate talk boyfriend sit listen talk wish talk boyfriend talk long let friday night swear relationship strange hardly chance talk mad time feel like try relationship minute start talk forget feel happy hear voice care suppose come austin weekend buy ticket xfest bee able tell hasbecause home excite soon sudden think process stop know write usually feel write assignment brain freeze minute absolutely dread english semester wish try little harder english exam take junior year score minimum score gettest remember sit biology lab room stink like formaldehyde frog idea take test take long essay wrotesentence give think score good grade test save english college blah blah blah stop yawn eye start hurt bright screen stop ,n,n,y,y,y,154,0,0,1,1,1
1259,morning hadclock class asleep naureen home soon remember tell bank call think noon need wear tonight wander naureen borrow believe hungry eat guess people freshman wonder housekeep monday think better come monday week like get days late class wish know wrong wish fix wonder marty go hope good birthday twentytwo sound far away like yesterday eighteen need homework bad need bed clean closet glad get clean room mate think live slob wonder meagan ask miss personal maidminutes tire today sten tavis come tonight go sleep guess sleep important need talk mom wonder go san antonio want grandma aunt sylvia know handle weekend mom guess try hope shop need winter clothe go shiver butt winter cold right thing turn far think work think thermostat room think control cold phone ringsmore time go freak phone loud hear way hall scar time ring halloween soon new years best holiday go costume minutes go sleep interest feel like write thoughts ,y,y,y,y,y,156,1,1,1,1,1
1260,mind right friends roomwho meet year name nae kim thoughts mind type mmm chocolate tasty love chocolate choose eat want come realization fat fatter go continue eat chocolate way thing friends train think whenthought lead think chocolate make fat lead think eat habit college mother warn eat unhealthy foods eat late night snack day statement replay mind time pick eat yikes think lose weight work jog aerobics read book lazy workout tuesdays thursdays haveclass pm spend rest day sleep attempt homework activities entire day time workout lazy think tire hit day read try catch assignments fall eye puffy feel start close body give try right paper forget take lot energy point interest exactly come mind freely wait read completely hmm wonder paper actually go grade academic point view wonder hard test go wonder read chapters rely pennebaker lecture hope fail psychology class hope pass wow feel like babble paper long mind bore things come paper right bore useless tell try hard type stop hard aboutminutes leave mind biology discussion class tomorrow time mandatory wonder family houston wonder sister miss actually know miss tell wonder go meet anycute anytime soon wish boyfriend kind fun single worry hold college new world opportunities meet new people discover wow overwhelm think know completely college idea goodness meet exboyfriend today small world think probably want hear stuff wonder best friends home miss lot feel like leave feel like away camp long retreat feel like life exist thing fantasy feel like live austin long time wow thoughts random bore bore life lead argh kind want party afraid addict eventually fail college bright future yeah right love dance regret take high school hopefully mistake college college doors open new adventure real deal pretty count go lead future time ,y,y,y,n,n,291,1,1,1,0,0
